,County_State
1016,"Osceola County, Florida"
1017,"Osceola County, Florida"
1018,"Osceola County, Florida"
1019,"Osceola County, Florida"
1020,"Palm Beach County, Florida"
1021,"Palm Beach County, Florida"
1022,"Palm Beach County, Florida"
1023,"Pasco County, Florida"
1024,"Pasco County, Florida"
1025,"Pasco County, Florida"
1026,"Pasco County, Florida"
1027,"Pasco County, Florida"
1028,"Pasco County, Florida"
1029,"Pasco County, Florida"
1030,"Pasco County, Florida"
1031,"Pinellas County, Florida"
1032,"Pinellas County, Florida"
1033,"Polk County, Florida"
1034,"Polk County, Florida"
1035,"Polk County, Florida"
1036,"Polk County, Florida"
1037,"Polk County, Florida"
1038,"Polk County, Florida"
1039,"Polk County, Florida"
1040,"Polk County, Florida"
1041,"Polk County, Florida"
1042,"Polk County, Florida"
1043,"Polk County, Florida"
1044,"Polk County, Florida"
1045,"Putnam County, Florida"
1046,"Putnam County, Florida"
1047,"Putnam County, Florida"
1048,"Putnam County, Florida"
1049,"Putnam County, Florida"
1050,"Santa Rosa County, Florida"
1051,"Santa Rosa County, Florida"
1052,"Santa Rosa County, Florida"
1053,"Sarasota County, Florida"
1054,"Sarasota County, Florida"
1055,"Sarasota County, Florida"
1056,"Sarasota County, Florida"
1057,"Sarasota County, Florida"
1058,"Seminole County, Florida"
1059,"Seminole County, Florida"
1060,"Seminole County, Florida"
1061,"St. Johns County, Florida"
1062,"St. Johns County, Florida"
1063,"St. Johns County, Florida"
1064,"St. Johns County, Florida"
1065,"St. Johns County, Florida"
1066,"Sumter County, Florida"
1067,"Sumter County, Florida"
1068,"Sumter County, Florida"
1069,"Sumter County, Florida"
1070,"Sumter County, Florida"
1071,"Sumter County, Florida"
1072,"Sumter County, Florida"
1073,"Suwannee County, Florida"
1074,"Suwannee County, Florida"
1075,"Suwannee County, Florida"
1076,"Suwannee County, Florida"
1077,"Suwannee County, Florida"
1078,"Suwannee County, Florida"
1079,"Taylor County, Florida"
1080,"Union County, Florida"
1081,"Volusia County, Florida"
1082,"Volusia County, Florida"
1083,"Volusia County, Florida"
1084,"Volusia County, Florida"
1085,"Volusia County, Florida"
1086,"Volusia County, Florida"
1087,"Volusia County, Florida"
1088,"Volusia County, Florida"
1089,"Volusia County, Florida"
1090,"Volusia County, Florida"
1091,"Volusia County, Florida"
1092,"Wakulla County, Florida"
1093,"Washington County, Florida"
1094,"Washington County, Florida"
1095,"Washington County, Florida"
1096,"Atkinson County, Georgia"
1097,"Atkinson County, Georgia"
1099,"Bartow County, Georgia"
1100,"Bartow County, Georgia"
1101,"Bartow County, Georgia"
1102,"Bartow County, Georgia"
1103,"Berrien County, Georgia"
1104,"Berrien County, Georgia"
1105,"Bibb County, Georgia"
1106,"Brantley County, Georgia"
1107,"Brooks County, Georgia"
1108,"Butts County, Georgia"
1109,"Carroll County, Georgia"
1110,"Chatham County, Georgia"
1111,"Chattooga County, Georgia"
1112,"Cherokee County, Georgia"
1113,"Cherokee County, Georgia"
1114,"Cherokee County, Georgia"
1115,"Cherokee County, Georgia"
1116,"Cherokee County, Georgia"
1118,"Clayton County, Georgia"
1119,"Clinch County, Georgia"
1120,"Cobb County, Georgia"
1121,"Colquitt County, Georgia"
1122,"Coweta County, Georgia"
1123,"Coweta County, Georgia"
1125,"Dade County, Georgia"
1126,"Decatur County, Georgia"
1127,"Dougherty County, Georgia"
1128,"Douglas County, Georgia"
1129,"Effingham County, Georgia"
1130,"Elbert County, Georgia"
1131,"Emanuel County, Georgia"
1132,"Emanuel County, Georgia"
1133,"Emanuel County, Georgia"
1134,"Emanuel County, Georgia"
1135,"Fannin County, Georgia"
1136,"Fayette County, Georgia"
1137,"Floyd County, Georgia"
1138,"Floyd County, Georgia"
1139,"Floyd County, Georgia"
1140,"Floyd County, Georgia"
1141,"Fulton County, Georgia"
1142,"Gilmer County, Georgia"
1143,"Glynn County, Georgia"
1144,"Gwinnett County, Georgia"
1145,"Gwinnett County, Georgia"
1146,"Habersham County, Georgia"
1147,"Habersham County, Georgia"
1148,"Hall County, Georgia"
1149,"Hall County, Georgia"
1150,"Haralson County, Georgia"
1151,"Haralson County, Georgia"
1152,"Heard County, Georgia"
1154,"Jones County, Georgia"
1155,"Lamar County, Georgia"
1156,"Lanier County, Georgia"
1157,"Lee County, Georgia"
1158,"Lee County, Georgia"
1159,"Liberty County, Georgia"
1160,"Liberty County, Georgia"
1161,"Lincoln County, Georgia"
1162,"Long County, Georgia"
1163,"Long County, Georgia"
1164,"Long County, Georgia"
1166,"Macon County, Georgia"
1167,"Macon County, Georgia"
1168,"Murray County, Georgia"
1169,"Murray County, Georgia"
1170,"Murray County, Georgia"
1171,"Paulding County, Georgia"
1172,"Paulding County, Georgia"
1173,"Paulding County, Georgia"
1174,"Paulding County, Georgia"
1175,"Paulding County, Georgia"
1177,"Paulding County, Georgia"
1178,"Paulding County, Georgia"
1179,"Paulding County, Georgia"
1180,"Pickens County, Georgia"
1181,"Polk County, Georgia"
1182,"Polk County, Georgia"
1183,"Polk County, Georgia"
1184,"Polk County, Georgia"
1185,"Rabun County, Georgia"
1186,"Rabun County, Georgia"
1187,"Rabun County, Georgia"
1188,"Randolph County, Georgia"
1189,"Richmond County, Georgia"
1190,"Richmond County, Georgia"
1191,"Spalding County, Georgia"
1192,"Stephens County, Georgia"
1193,"Stewart County, Georgia"
1194,"Sumter County, Georgia"
1195,"Tattnall County, Georgia"
1196,"Tattnall County, Georgia"
1197,"Troup County, Georgia"
1198,"Troup County, Georgia"
1199,"Union County, Georgia"
1200,"Union County, Georgia"
1201,"Upson County, Georgia"
1202,"Walker County, Georgia"
1203,"Walker County, Georgia"
1204,"Walker County, Georgia"
1205,"Walker County, Georgia"
1206,"Walker County, Georgia"
1208,"White County, Georgia"
1209,"White County, Georgia"
1211,"White County, Georgia"
1212,"White County, Georgia"
1213,"White County, Georgia"
1214,"White County, Georgia"
1215,"White County, Georgia"
1216,"White County, Georgia"
1217,"White County, Georgia"
1218,"Whitfield County, Georgia"
1219,"Boone County, Iowa"
1220,"Boone County, Iowa"
1221,"Boone County, Iowa"
1222,"Buchanan County, Iowa"
1223,"Clayton County, Iowa"
1224,"Clayton County, Iowa"
1225,"Dallas County, Iowa"
1226,"Dallas County, Iowa"
1227,"Decatur County, Iowa"
1228,"Decatur County, Iowa"
1229,"Decatur County, Iowa"
1232,"Dickinson County, Iowa"
1233,"Dubuque County, Iowa"
1234,"Dubuque County, Iowa"
1235,"Dubuque County, Iowa"
1236,"Fayette County, Iowa"
1237,"Fayette County, Iowa"
1238,"Floyd County, Iowa"
1239,"Franklin County, Iowa"
1240,"Greene County, Iowa"
1241,"Hamilton County, Iowa"
1242,"Hardin County, Iowa"
1243,"Humboldt County, Iowa"
1244,"Humboldt County, Iowa"
1245,"Humboldt County, Iowa"
1246,"Humboldt County, Iowa"
1247,"Jasper County, Iowa"
1248,"Jefferson County, Iowa"
1249,"Johnson County, Iowa"
1250,"Johnson County, Iowa"
1251,"Keokuk County, Iowa"
1252,"Lee County, Iowa"
1253,"Lee County, Iowa"
1254,"Lee County, Iowa"
1255,"Madison County, Iowa"
1256,"Marion County, Iowa"
1257,"Monroe County, Iowa"
1258,"Polk County, Iowa"
1259,"Polk County, Iowa"
1260,"Pottawattamie County, Iowa"
1261,"Scott County, Iowa"
1262,"Scott County, Iowa"
1263,"Washington County, Iowa"
1264,"Winneshiek County, Iowa"
1265,"Winneshiek County, Iowa"
1266,"Winneshiek County, Iowa"
1267,"Winneshiek County, Iowa"
1269,"Woodbury County, Iowa"
1270,"Adams County, Idaho"
1271,"Adams County, Idaho"
1274,"Bear Lake County, Idaho"
1275,"Bear Lake County, Idaho"
1276,"Bear Lake County, Idaho"
1277,"Bear Lake County, Idaho"
1278,"Benewah County, Idaho"
1280,"Boise County, Idaho"
1281,"Boise County, Idaho"
1282,"Boise County, Idaho"
1283,"Bonner County, Idaho"
1285,"Bonner County, Idaho"
1286,"Bonner County, Idaho"
1287,"Bonner County, Idaho"
1288,"Bonner County, Idaho"
1289,"Bonner County, Idaho"
1290,"Bonner County, Idaho"
1291,"Bonner County, Idaho"
1292,"Bonner County, Idaho"
1293,"Bonner County, Idaho"
1294,"Bonneville County, Idaho"
1295,"Boundary County, Idaho"
1296,"Camas County, Idaho"
1297,"Camas County, Idaho"
1298,"Cassia County, Idaho"
1300,"Clark County, Idaho"
1301,"Clark County, Idaho"
1302,"Clark County, Idaho"
1303,"Clearwater County, Idaho"
1304,"Clearwater County, Idaho"
1305,"Clearwater County, Idaho"
1306,"Custer County, Idaho"
1307,"Custer County, Idaho"
1308,"Custer County, Idaho"
1309,"Custer County, Idaho"
1310,"Idaho County, Idaho"
1311,"Idaho County, Idaho"
1312,"Kootenai County, Idaho"
1313,"Kootenai County, Idaho"
1314,"Kootenai County, Idaho"
1315,"Kootenai County, Idaho"
1316,"Latah County, Idaho"
1317,"Latah County, Idaho"
1318,"Latah County, Idaho"
1319,"Lemhi County, Idaho"
1320,"Lemhi County, Idaho"
1321,"Lemhi County, Idaho"
1322,"Lemhi County, Idaho"
1323,"Madison County, Idaho"
1324,"Nez Perce County, Idaho"
1325,"Owyhee County, Idaho"
1326,"Owyhee County, Idaho"
1327,"Shoshone County, Idaho"
1328,"Shoshone County, Idaho"
1329,"Shoshone County, Idaho"
1330,"Valley County, Idaho"
1331,"Valley County, Idaho"
1332,"Valley County, Idaho"
1333,"Valley County, Idaho"
1334,"Valley County, Idaho"
1335,"Valley County, Idaho"
1336,"Valley County, Idaho"
1337,"Valley County, Idaho"
1338,"Valley County, Idaho"
1339,"Adams County, Illinois"
1340,"Adams County, Illinois"
1341,"Alexander County, Illinois"
1342,"Alexander County, Illinois"
1343,"Bond County, Illinois"
1344,"Bond County, Illinois"
1346,"Calhoun County, Illinois"
1347,"Calhoun County, Illinois"
1348,"Calhoun County, Illinois"
1349,"Cass County, Illinois"
1350,"Champaign County, Illinois"
1351,"Christian County, Illinois"
1352,"Christian County, Illinois"
1353,"Christian County, Illinois"
1354,"Christian County, Illinois"
1355,"Clark County, Illinois"
1356,"Clinton County, Illinois"
1357,"Cook County, Illinois"
1358,"Cook County, Illinois"
1359,"Cook County, Illinois"
1360,"Cook County, Illinois"
1361,"Cook County, Illinois"
1362,"Cook County, Illinois"
1363,"Cook County, Illinois"
1364,"Cook County, Illinois"
1365,"Cook County, Illinois"
1366,"Cook County, Illinois"
1367,"Cook County, Illinois"
1368,"Cook County, Illinois"
1369,"Cook County, Illinois"
1370,"Cook County, Illinois"
1371,"Crawford County, Illinois"
1372,"Crawford County, Illinois"
1373,"Crawford County, Illinois"
1374,"De Witt County, Illinois"
1375,"Douglas County, Illinois"
1376,"Du Page County, Illinois"
1377,"Edgar County, Illinois"
1378,"Edwards County, Illinois"
1380,"Fayette County, Illinois"
1381,"Fayette County, Illinois"
1382,"Franklin County, Illinois"
1383,"Franklin County, Illinois"
1384,"Franklin County, Illinois"
1385,"Franklin County, Illinois"
1386,"Fulton County, Illinois"
1387,"Fulton County, Illinois"
1388,"Fulton County, Illinois"
1389,"Fulton County, Illinois"
1390,"Fulton County, Illinois"
1391,"Fulton County, Illinois"
1392,"Fulton County, Illinois"
1393,"Fulton County, Illinois"
1394,"Fulton County, Illinois"
1395,"Grundy County, Illinois"
1396,"Grundy County, Illinois"
1397,"Grundy County, Illinois"
1398,"Grundy County, Illinois"
1399,"Hancock County, Illinois"
1400,"Hancock County, Illinois"
1401,"Hardin County, Illinois"
1402,"Hardin County, Illinois"
1403,"Hardin County, Illinois"
1404,"Henderson County, Illinois"
1405,"Henderson County, Illinois"
1406,"Henderson County, Illinois"
1407,"Henderson County, Illinois"
1408,"Henry County, Illinois"
1409,"Iroquois County, Illinois"
1410,"Jackson County, Illinois"
1411,"Jackson County, Illinois"
1412,"Jackson County, Illinois"
1413,"Jackson County, Illinois"
1414,"Jackson County, Illinois"
1415,"Jackson County, Illinois"
1416,"Jackson County, Illinois"
1417,"Jackson County, Illinois"
1418,"Jasper County, Illinois"
1419,"Jefferson County, Illinois"
1420,"Jersey County, Illinois"
1421,"Jersey County, Illinois"
1423,"Johnson County, Illinois"
1424,"Kane County, Illinois"
1425,"Kane County, Illinois"
1426,"Kankakee County, Illinois"
1427,"Kankakee County, Illinois"
1428,"Kendall County, Illinois"
1429,"Kendall County, Illinois"
1430,"Knox County, Illinois"
1431,"Knox County, Illinois"
1432,"La Salle County, Illinois"
1433,"La Salle County, Illinois"
1434,"La Salle County, Illinois"
1435,"La Salle County, Illinois"
1436,"La Salle County, Illinois"
1437,"La Salle County, Illinois"
1438,"La Salle County, Illinois"
1439,"La Salle County, Illinois"
1440,"La Salle County, Illinois"
1441,"La Salle County, Illinois"
1443,"Lake County, Illinois"
1444,"Lawrence County, Illinois"
1445,"Lawrence County, Illinois"
1446,"Lee County, Illinois"
1447,"Livingston County, Illinois"
1448,"Logan County, Illinois"
1449,"Macon County, Illinois"
1450,"Macon County, Illinois"
1451,"Macon County, Illinois"
1452,"Macoupin County, Illinois"
1453,"Macoupin County, Illinois"
1454,"Macoupin County, Illinois"
1455,"Macoupin County, Illinois"
1456,"Macoupin County, Illinois"
1457,"Macoupin County, Illinois"
1458,"Macoupin County, Illinois"
1459,"Macoupin County, Illinois"
1460,"Macoupin County, Illinois"
1461,"Macoupin County, Illinois"
1462,"Macoupin County, Illinois"
1463,"Macoupin County, Illinois"
1464,"Macoupin County, Illinois"
1465,"Madison County, Illinois"
1466,"Madison County, Illinois"
1467,"Madison County, Illinois"
1468,"Madison County, Illinois"
1469,"Madison County, Illinois"
1470,"Madison County, Illinois"
1471,"Madison County, Illinois"
1472,"Madison County, Illinois"
1473,"Madison County, Illinois"
1474,"Madison County, Illinois"
1475,"Madison County, Illinois"
1476,"Madison County, Illinois"
1477,"Madison County, Illinois"
1478,"Madison County, Illinois"
1479,"Madison County, Illinois"
1480,"Marion County, Illinois"
1481,"Marion County, Illinois"
1482,"Marshall County, Illinois"
1483,"Massac County, Illinois"
1484,"Massac County, Illinois"
1485,"Massac County, Illinois"
1486,"Massac County, Illinois"
1487,"McDonough County, Illinois"
1488,"McDonough County, Illinois"
1489,"McDonough County, Illinois"
1490,"McDonough County, Illinois"
1491,"McHenry County, Illinois"
1492,"McHenry County, Illinois"
1496,"Montgomery County, Illinois"
1497,"Montgomery County, Illinois"
1498,"Montgomery County, Illinois"
1499,"Morgan County, Illinois"
1500,"Morgan County, Illinois"
1501,"Morgan County, Illinois"
1502,"Morgan County, Illinois"
1503,"Moultrie County, Illinois"
1504,"Ogle County, Illinois"
1505,"Ogle County, Illinois"
1506,"Peoria County, Illinois"
1507,"Peoria County, Illinois"
1508,"Peoria County, Illinois"
1509,"Perry County, Illinois"
1510,"Perry County, Illinois"
1511,"Piatt County, Illinois"
1512,"Pike County, Illinois"
1513,"Pope County, Illinois"
1514,"Pulaski County, Illinois"
1515,"Pulaski County, Illinois"
1516,"Putnam County, Illinois"
1517,"Randolph County, Illinois"
1518,"Rock Island County, Illinois"
1519,"Saline County, Illinois"
1520,"Saline County, Illinois"
1521,"Saline County, Illinois"
1522,"Sangamon County, Illinois"
1523,"Sangamon County, Illinois"
1524,"Sangamon County, Illinois"
1525,"Sangamon County, Illinois"
1526,"Sangamon County, Illinois"
1527,"Sangamon County, Illinois"
1528,"Sangamon County, Illinois"
1529,"Sangamon County, Illinois"
1530,"Sangamon County, Illinois"
1531,"Sangamon County, Illinois"
1532,"Schuyler County, Illinois"
1533,"Schuyler County, Illinois"
1534,"Shelby County, Illinois"
1535,"Shelby County, Illinois"
1536,"Shelby County, Illinois"
1537,"St. Clair County, Illinois"
1538,"St. Clair County, Illinois"
1539,"St. Clair County, Illinois"
1540,"Stephenson County, Illinois"
1541,"Tazewell County, Illinois"
1542,"Tazewell County, Illinois"
1543,"Tazewell County, Illinois"
1545,"Vermilion County, Illinois"
1546,"Wabash County, Illinois"
1547,"Wabash County, Illinois"
1548,"Warren County, Illinois"
1549,"Washington County, Illinois"
1550,"Washington County, Illinois"
1551,"White County, Illinois"
1552,"White County, Illinois"
1553,"Whiteside County, Illinois"
1554,"Whiteside County, Illinois"
1555,"Whiteside County, Illinois"
1556,"Whiteside County, Illinois"
1557,"Whiteside County, Illinois"
1558,"Will County, Illinois"
1559,"Will County, Illinois"
1560,"Williamson County, Illinois"
1561,"Williamson County, Illinois"
1562,"Williamson County, Illinois"
1563,"Winnebago County, Illinois"
1564,"Woodford County, Illinois"
1565,"Bartholomew County, Indiana"
1566,"Bartholomew County, Indiana"
1567,"Bartholomew County, Indiana"
1568,"Blackford County, Indiana"
1569,"Boone County, Indiana"
1570,"Brown County, Indiana"
1571,"Brown County, Indiana"
1572,"Brown County, Indiana"
1573,"Clark County, Indiana"
1574,"Crawford County, Indiana"
1575,"Dearborn County, Indiana"
1576,"Dearborn County, Indiana"
1577,"Decatur County, Indiana"
1578,"Elkhart County, Indiana"
1579,"Floyd County, Indiana"
1580,"Floyd County, Indiana"
1581,"Fountain County, Indiana"
1582,"Fountain County, Indiana"
1583,"Grant County, Indiana"
1584,"Hamilton County, Indiana"
1585,"Hamilton County, Indiana"
1586,"Harrison County, Indiana"
1587,"Harrison County, Indiana"
1588,"Harrison County, Indiana"
1589,"Henry County, Indiana"
1590,"Huntington County, Indiana"
1591,"Huntington County, Indiana"
1592,"Jefferson County, Indiana"
1593,"Jennings County, Indiana"
1594,"Jennings County, Indiana"
1595,"Johnson County, Indiana"
1597,"Kosciusko County, Indiana"
1598,"Kosciusko County, Indiana"
1599,"La Porte County, Indiana"
1600,"La Porte County, Indiana"
1601,"Lawrence County, Indiana"
1602,"Monroe County, Indiana"
1603,"Monroe County, Indiana"
1604,"Monroe County, Indiana"
1605,"Monroe County, Indiana"
1606,"Monroe County, Indiana"
1607,"Monroe County, Indiana"
1608,"Monroe County, Indiana"
1609,"Montgomery County, Indiana"
1610,"Morgan County, Indiana"
1611,"Morgan County, Indiana"
1612,"Morgan County, Indiana"
1614,"Owen County, Indiana"
1615,"Parke County, Indiana"
1616,"Parke County, Indiana"
1617,"Perry County, Indiana"
1618,"Perry County, Indiana"
1619,"Pulaski County, Indiana"
1620,"Pulaski County, Indiana"
1621,"Putnam County, Indiana"
1622,"Putnam County, Indiana"
1623,"Scott County, Indiana"
1624,"Shelby County, Indiana"
1625,"Spencer County, Indiana"
1626,"Spencer County, Indiana"
1627,"St. Joseph County, Indiana"
1628,"Steuben County, Indiana"
1629,"Sullivan County, Indiana"
1630,"Tippecanoe County, Indiana"
1631,"Vanderburgh County, Indiana"
1632,"Vermillion County, Indiana"
1633,"Vermillion County, Indiana"
1634,"Warrick County, Indiana"
1636,"Washington County, Indiana"
1637,"Washington County, Indiana"
1638,"Washington County, Indiana"
1639,"Washington County, Indiana"
1640,"Wayne County, Indiana"
1641,"Wells County, Indiana"
1642,"Bourbon County, Kansas"
1643,"Bourbon County, Kansas"
1644,"Coffey County, Kansas"
1645,"Crawford County, Kansas"
1646,"Douglas County, Kansas"
1647,"Geary County, Kansas"
1648,"Jackson County, Kansas"
1649,"Jackson County, Kansas"
1650,"Jefferson County, Kansas"
1651,"Johnson County, Kansas"
1652,"Kingman County, Kansas"
1653,"Kingman County, Kansas"
1654,"Kingman County, Kansas"
1655,"Labette County, Kansas"
1656,"Leavenworth County, Kansas"
1657,"McPherson County, Kansas"
1658,"Miami County, Kansas"
1659,"Montgomery County, Kansas"
1660,"Morris County, Kansas"
1661,"Neosho County, Kansas"
1662,"Neosho County, Kansas"
1663,"Osage County, Kansas"
1664,"Ottawa County, Kansas"
1665,"Pratt County, Kansas"
1666,"Rice County, Kansas"
1667,"Riley County, Kansas"
1668,"Rooks County, Kansas"
1669,"Saline County, Kansas"
1670,"Sedgwick County, Kansas"
1671,"Sedgwick County, Kansas"
1672,"Sedgwick County, Kansas"
1673,"Sedgwick County, Kansas"
1674,"Shawnee County, Kansas"
1675,"Shawnee County, Kansas"
1676,"Shawnee County, Kansas"
1677,"Sumner County, Kansas"
1678,"Sumner County, Kansas"
1680,"Wyandotte County, Kansas"
1681,"Wyandotte County, Kansas"
1682,"Allen County, Kentucky"
1683,"Anderson County, Kentucky"
1684,"Anderson County, Kentucky"
1685,"Ballard County, Kentucky"
1686,"Barren County, Kentucky"
1688,"Bell County, Kentucky"
1689,"Boone County, Kentucky"
1690,"Boone County, Kentucky"
1691,"Boone County, Kentucky"
1692,"Boyd County, Kentucky"
1693,"Breathitt County, Kentucky"
1694,"Carroll County, Kentucky"
1695,"Carter County, Kentucky"
1696,"Casey County, Kentucky"
1697,"Clark County, Kentucky"
1698,"Crittenden County, Kentucky"
1699,"Daviess County, Kentucky"
1700,"Daviess County, Kentucky"
1701,"Fleming County, Kentucky"
1702,"Fleming County, Kentucky"
1703,"Franklin County, Kentucky"
1704,"Grant County, Kentucky"
1705,"Grant County, Kentucky"
1706,"Grayson County, Kentucky"
1707,"Grayson County, Kentucky"
1708,"Greenup County, Kentucky"
1709,"Greenup County, Kentucky"
1710,"Greenup County, Kentucky"
1711,"Harlan County, Kentucky"
1712,"Harlan County, Kentucky"
1713,"Harlan County, Kentucky"
1714,"Harlan County, Kentucky"
1715,"Harlan County, Kentucky"
1716,"Henry County, Kentucky"
1717,"Hopkins County, Kentucky"
1718,"Hopkins County, Kentucky"
1719,"Hopkins County, Kentucky"
1720,"Hopkins County, Kentucky"
1721,"Hopkins County, Kentucky"
1722,"Jackson County, Kentucky"
1723,"Jefferson County, Kentucky"
1724,"Jessamine County, Kentucky"
1725,"Johnson County, Kentucky"
1726,"Johnson County, Kentucky"
1727,"Larue County, Kentucky"
1728,"Laurel County, Kentucky"
1729,"Laurel County, Kentucky"
1730,"Lawrence County, Kentucky"
1731,"Lawrence County, Kentucky"
1732,"Lawrence County, Kentucky"
1733,"Lawrence County, Kentucky"
1734,"Lawrence County, Kentucky"
1735,"Lawrence County, Kentucky"
1736,"Lawrence County, Kentucky"
1737,"Lawrence County, Kentucky"
1738,"Lawrence County, Kentucky"
1739,"Lee County, Kentucky"
1740,"Letcher County, Kentucky"
1741,"Letcher County, Kentucky"
1742,"Lewis County, Kentucky"
1743,"Lewis County, Kentucky"
1744,"Lincoln County, Kentucky"
1745,"Logan County, Kentucky"
1746,"Logan County, Kentucky"
1747,"Logan County, Kentucky"
1748,"Logan County, Kentucky"
1749,"Madison County, Kentucky"
1750,"Madison County, Kentucky"
1751,"Madison County, Kentucky"
1752,"Madison County, Kentucky"
1753,"Magoffin County, Kentucky"
1754,"Marshall County, Kentucky"
1755,"Martin County, Kentucky"
1756,"Mason County, Kentucky"
1757,"Mason County, Kentucky"
1758,"Mason County, Kentucky"
1759,"McCreary County, Kentucky"
1760,"McCreary County, Kentucky"
1761,"McLean County, Kentucky"
1762,"Meade County, Kentucky"
1763,"Metcalfe County, Kentucky"
1764,"Nelson County, Kentucky"
1765,"Nelson County, Kentucky"
1766,"Perry County, Kentucky"
1767,"Perry County, Kentucky"
1768,"Pike County, Kentucky"
1769,"Pike County, Kentucky"
1770,"Pike County, Kentucky"
1771,"Pike County, Kentucky"
1772,"Pike County, Kentucky"
1773,"Pike County, Kentucky"
1774,"Powell County, Kentucky"
1775,"Powell County, Kentucky"
1776,"Powell County, Kentucky"
1777,"Powell County, Kentucky"
1778,"Rowan County, Kentucky"
1779,"Rowan County, Kentucky"
1780,"Shelby County, Kentucky"
1781,"Shelby County, Kentucky"
1782,"Simpson County, Kentucky"
1783,"Simpson County, Kentucky"
1784,"Taylor County, Kentucky"
1785,"Trigg County, Kentucky"
1786,"Trigg County, Kentucky"
1787,"Trigg County, Kentucky"
1788,"Union County, Kentucky"
1789,"Whitley County, Kentucky"
1790,"Allen Parish, Louisiana"
1791,"Ascension Parish, Louisiana"
1792,"Ascension Parish, Louisiana"
1793,"Avoyelles Parish, Louisiana"
1794,"Caddo Parish, Louisiana"
1795,"Calcasieu Parish, Louisiana"
1796,"Claiborne Parish, Louisiana"
1797,"Claiborne Parish, Louisiana"
1798,"East Baton Rouge Parish, Louisiana"
1799,"East Feliciana Parish, Louisiana"
1800,"Franklin Parish, Louisiana"
1801,"Franklin Parish, Louisiana"
1802,"Grant Parish, Louisiana"
1803,"Grant Parish, Louisiana"
1804,"Grant Parish, Louisiana"
1806,"Jefferson Davis Parish, Louisiana"
1807,"La Salle Parish, Louisiana"
1808,"La Salle Parish, Louisiana"
1809,"Livingston Parish, Louisiana"
1810,"Natchitoches Parish, Louisiana"
1811,"Natchitoches Parish, Louisiana"
1812,"Rapides Parish, Louisiana"
1813,"Rapides Parish, Louisiana"
1814,"Rapides Parish, Louisiana"
1815,"Rapides Parish, Louisiana"
1816,"Rapides Parish, Louisiana"
1817,"Rapides Parish, Louisiana"
1818,"Sabine Parish, Louisiana"
1819,"St. Landry Parish, Louisiana"
1820,"St. Tammany Parish, Louisiana"
1821,"Tangipahoa Parish, Louisiana"
1822,"Union Parish, Louisiana"
1823,"Vernon Parish, Louisiana"
1824,"Vernon Parish, Louisiana"
1825,"Washington Parish, Louisiana"
1826,"Webster Parish, Louisiana"
1827,"Webster Parish, Louisiana"
1828,"Webster Parish, Louisiana"
1829,"Barnstable County, Massachusetts"
1830,"Barnstable County, Massachusetts"
1831,"Berkshire County, Massachusetts"
1832,"Berkshire County, Massachusetts"
1833,"Berkshire County, Massachusetts"
1834,"Berkshire County, Massachusetts"
1835,"Berkshire County, Massachusetts"
1836,"Berkshire County, Massachusetts"
1837,"Berkshire County, Massachusetts"
1838,"Berkshire County, Massachusetts"
1839,"Bristol County, Massachusetts"
1840,"Bristol County, Massachusetts"
1841,"Essex County, Massachusetts"
1842,"Essex County, Massachusetts"
1843,"Franklin County, Massachusetts"
1844,"Hampden County, Massachusetts"
1845,"Hampden County, Massachusetts"
1846,"Plymouth County, Massachusetts"
1847,"Plymouth County, Massachusetts"
1848,"Plymouth County, Massachusetts"
1849,"Plymouth County, Massachusetts"
1850,"Plymouth County, Massachusetts"
1851,"Worcester County, Massachusetts"
1852,"Worcester County, Massachusetts"
1853,"Worcester County, Massachusetts"
1854,"Worcester County, Massachusetts"
1855,"Allegany County, Maryland"
1856,"Anne Arundel County, Maryland"
1857,"Anne Arundel County, Maryland"
1858,"Anne Arundel County, Maryland"
1859,"Anne Arundel County, Maryland"
1860,"Anne Arundel County, Maryland"
1861,"Anne Arundel County, Maryland"
1862,"Anne Arundel County, Maryland"
1863,"Anne Arundel County, Maryland"
1864,"Anne Arundel County, Maryland"
1865,"Baltimore County, Maryland"
1866,"Baltimore County, Maryland"
1867,"Baltimore County, Maryland"
1868,"Carroll County, Maryland"
1869,"Carroll County, Maryland"
1870,"Cecil County, Maryland"
1871,"Dorchester County, Maryland"
1872,"Fredrick County, Maryland"
1873,"Fredrick County, Maryland"
1875,"Harford County, Maryland"
1876,"Harford County, Maryland"
1877,"Harford County, Maryland"
1878,"Harford County, Maryland"
1879,"Harford County, Maryland"
1880,"Howard County, Maryland"
1881,"Montgomery County, Maryland"
1882,"Montgomery County, Maryland"
1883,"Montgomery County, Maryland"
1884,"Prince George's County, Maryland"
1885,"Prince George's County, Maryland"
1886,"Washington County, Maryland"
1887,"Washington County, Maryland"
1888,"Worcester County, Maryland"
1889,"Androscoggin County, Maine"
1890,"Androscoggin County, Maine"
1891,"Cumberland County, Maine"
1892,"Hancock County, Maine"
1893,"Oxford County, Maine"
1894,"Oxford County, Maine"
1895,"Penobscot County, Maine"
1896,"Piscataquis County, Maine"
1897,"York County, Maine"
1898,"York County, Maine"
1899,"Alcona County, Michigan"
1900,"Alcona County, Michigan"
1901,"Alcona County, Michigan"
1902,"Alcona County, Michigan"
1903,"Alger County, Michigan"
1904,"Alger County, Michigan"
1905,"Allegan County, Michigan"
1906,"Alpena County, Michigan"
1907,"Alpena County, Michigan"
